id,dataset,classes,length,trainsize,testsize,type,NB,C45,SVML,SVMQ,BN,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,LS,FS,BoP,SAXVSM,TSF,TSBF,LPS,ACF,PS,PFr5std,PFr2std,PFr1std,PFr5Train,PFr5TrainStd,PFr5Test,PFr5TestStd,PFr2Train,PFr2TrainStd,PFr2Test,PFr2TestStd,PFr1Train,PFr1TrainStd,PFr1Test,PFr1TestStd,RandF,RotF,ST,BOSS,EE,COTE,PFr5,PFr2,PFr1
12,CricketY,12,300,390,390,MOTION,0.394871795,0.328205128,0.458974359,0.461538462,0.287179487,0.525641026,0.566666667,0.743589744,0.756410256,0.558974359,0.561538462,0.730769231,0.787179487,0.771794872,0.753846154,0.582051282,0.758974359,0.776923077,0.774358974,0.779487179,0.717948718,0.530769,0.633333333,0.615384615,0.671794872,0.735897436,0.766666667,0.551282051,0.487179487,0.008898745,0.008304245,0.012147582,2255064.165,253388.0576,463692.5434,59117.79788,993574.9884,36471.00698,542662.3833,32830.64778,363785.2442,42862.40597,401176.579,25361.42343,0.61025641,0.61025641,0.779487179,0.753846154,0.805128205,0.825641026,0.793846154,0.790769231,0.784615385
13,CricketZ,12,300,390,390,MOTION,0.394871795,0.320512821,0.379487179,0.464102564,0.328205128,0.543589744,0.587179487,0.753846154,0.735897436,0.556410256,0.605128205,0.733333333,0.741025641,0.764102564,0.735897436,0.617948718,0.761538462,0.774358974,0.774358974,0.728205128,0.741025641,0.464103,0.535897436,0.707692308,0.671794872,0.715384615,0.753846154,0.630769231,0.574358974,0.007567844,0.009819765,0.008238004,2200457.334,338952.4947,471181.6864,91468.79469,900783.1212,37832.6151,498724.7099,20416.55564,346548.0257,12300.43791,387257.3943,13320.53691,0.607692308,0.656410256,0.787179487,0.746153846,0.782051282,0.815384615,0.801025641,0.8,0.795128205
14,DiatomSizeReduction,4,345,16,306,IMAGE,0.879084967,0.715686275,0.954248366,0.947712418,0.941176471,0.964052288,0.934640523,0.967320261,0.934640523,0.934640523,0.91503268,0.934640523,0.941176471,0.947712418,0.947712418,0.934640523,0.967320261,0.967320261,0.91503268,0.934640523,0.980392157,0.866013,0.921568627,0.882352941,0.931372549,0.89869281,0.905228758,0.888888889,0.87254902,0.002310806,0.004569973,0.004478171,18117.88707,625.5876939,80765.33369,7665.588882,7248.995442,347.4965047,88214.76581,6199.264777,3978.145463,233.9262331,93649.33407,5324.839684,0.87254902,0.87254902,0.924836601,0.931372549,0.944444444,0.928104575,0.965686275,0.966666667,0.964379085
15,DistalPhalanxOutlineAgeGroup,3,80,400,139,IMAGE,0.726618705,0.690647482,0.712230216,0.669064748,0.73381295,0.805755396,0.625899281,0.769784173,0.625899281,0.676258993,0.690647482,0.676258993,0.73381295,0.741007194,0.712230216,0.64028777,0.697841727,0.705035971,0.661870504,0.683453237,0.71942446,0.654676,0.690647482,0.841726619,0.748201439,0.712230216,0.669064748,0.712230216,0.705035971,0.012779772,0.011869898,0.012133439,60487.43565,1055.505951,5629.052945,204.2082457,36927.30022,831.355228,8161.80777,244.7807733,21770.15294,501.7855154,9378.730746,194.2936513,0.769784173,0.748201439,0.769784173,0.748201439,0.690647482,0.748201439,0.730935252,0.737410072,0.732374101
16,DistalPhalanxOutlineCorrect,2,80,600,276,IMAGE,0.673913043,0.757246377,0.663043478,0.764492754,0.72826087,0.822463768,0.717391304,0.717391304,0.724637681,0.731884058,0.713768116,0.710144928,0.742753623,0.735507246,0.739130435,0.710144928,0.717391304,0.731884058,0.724637681,0.768115942,0.778985507,0.75,0.713768116,0.72826087,0.77173913,0.782608696,0.721014493,0.760869565,0.724637681,0.009005484,0.007296525,0.007864165,134301.6509,1195.086199,15097.9345,274.4337453,80252.67604,2149.432174,21498.28669,631.6035343,43985.88796,744.1106183,23416.76763,439.6383127,0.782608696,0.757246377,0.775362319,0.72826087,0.72826087,0.760869565,0.792753623,0.777173913,0.762318841
17,DistalPhalanxTW,6,80,400,139,IMAGE,0.64028777,0.625899281,0.705035971,0.625899281,0.661870504,0.625899281,0.633093525,0.589928058,0.633093525,0.589928058,0.589928058,0.669064748,0.633093525,0.64028777,0.633093525,0.589928058,0.604316547,0.611510791,0.575539568,0.669064748,0.625899281,0.625899,0.697841727,0.604316547,0.669064748,0.676258993,0.568345324,0.690647482,0.676258993,0.016631694,0.01234488,0.011748152,65873.53503,778.4377542,6017.632367,141.404229,39836.31992,815.7273766,8581.757459,142.7309224,22932.66406,673.4552161,9606.871964,228.1685315,0.705035971,0.705035971,0.661870504,0.676258993,0.647482014,0.697841727,0.65971223,0.651079137,0.661870504
21,Earthquakes,2,512,322,139,SENSOR,0.669064748,0.697841727,0.64028777,0.741007194,0.568345324,0.697841727,0.712230216,0.71942446,0.726618705,0.676258993,0.676258993,0.683453237,0.726618705,0.690647482,0.676258993,0.676258993,0.726618705,0.705035971,0.705035971,0.748201439,0.741007194,0.705036,0.741007194,0.748201439,0.748201439,0.748201439,0.64028777,0.748201439,0.748201439,0.006611055,0.003391399,0.00347515,2705077.953,473374.1517,260908.7092,50220.17574,881634.0624,7286.17448,220177.8028,2738.133687,710438.7876,19436.8937,344993.2871,9733.284505,0.748201439,0.748201439,0.741007194,0.748201439,0.741007194,0.748201439,0.753956835,0.755395683,0.75323741
18,ECG200,2,96,100,100,ECG,0.77,0.8,0.81,0.85,0.75,0.79,0.88,0.77,0.88,0.83,0.89,0.88,0.89,0.91,0.89,0.88,0.88,0.83,0.84,0.81,0.88,0.81,0.83,0.85,0.87,0.84,0.86,0.82,0.86,0.01197219,0.008232726,0.009486833,23805.53898,425.9724771,5304.147469,162.2336278,7293.677994,196.2485343,4080.723491,140.4865119,5396.011048,402.2381314,6156.002769,209.8733506,0.79,0.85,0.83,0.87,0.88,0.88,0.909,0.903,0.897
19,ECG5000,5,140,500,4500,ECG,0.883555556,0.898666667,0.938444444,0.926222222,0.852888889,0.932888889,0.924888889,0.924444444,0.925111111,0.919555556,0.920666667,0.932222222,0.929555556,0.931777778,0.927111111,0.922,0.924888889,0.923555556,0.923555556,0.938222222,0.932222222,0.922667,0.911777778,0.910444444,0.938888889,0.939555556,0.917111111,0.909777778,0.935555556,0.001141798,0.000947453,0.001299995,338372.8649,8032.512193,601951.8202,22855.03409,97897.68393,1941.885087,454171.9393,10192.20103,75489.42767,1427.744656,711215.7307,14556.65023,0.934666667,0.945777778,0.943777778,0.941333333,0.938666667,0.946,0.936488889,0.937822222,0.937555556
20,ECGFiveDays,2,136,23,861,ECG,0.796747967,0.721254355,0.975609756,0.972125436,0.780487805,0.916376307,0.796747967,0.767711963,0.796747967,0.68641115,0.695702671,0.806039489,0.794425087,0.890824623,0.829268293,0.692218351,0.795586527,0.768873403,0.822299652,0.974448316,1,0.997677,0.987224158,0.954703833,0.955865273,0.87688734,0.879210221,0.981416957,1,0.011137452,0.009882484,0.01067009,7279.466893,132.1007617,61714.37108,2382.35289,2157.669312,90.53971704,47718.61098,2011.924856,1803.029648,73.06143008,82286.11277,2886.247912,0.721254355,0.908246225,0.983739837,1,0.819976771,0.99883856,0.849245064,0.827874564,0.805110337
